Year,Gas Furnaces,Heat Pumps
2004,3.519024,1.8861
2005,3.512464,2.136525
2006,3.196715,2.118469
2007,2.782006,1.898905
2008,2.279677,1.86531
2009,2.174528,1.642064
2010,2.453279,1.74792
2011,2.21616,1.765002
2012,2.243397,1.697796
2013,2.60176,1.968632
2014,2.734533,2.35399
2015,2.814203,2.269165
2016,2.942545,2.429867
2017,3.133768,2.619984
2018,3.416571,2.931341
2019,3.441872,3.10984
2020,3.704267,3.66073
2021,4.008894,3.916766
2022,3.872368,4.334479
2023,2.989516,3.616632
2024,3.12,4.12
2025,3.25, 3.64